city,locality,apartment_name,bhk,area_sqft,price_per_sqft_inr,price_in_inr,price_in_lakhs,year_built,floor_no,total_floors,furnishing,near_metro,generated_at
Pune,Baner,Silver Square,2,1016,6428,6530848,65.31,2013,18,21,Semi-Furnished,Yes,2026-01-19
Hyderabad,Madhapur,Silver Square,2,865,6493,5616445,56.16,2002,2,31,Semi-Furnished,No,2026-01-19
Jaipur,C Scheme,Regal Grove,3,1347,4333,5836551,58.37,2021,6,12,Unfurnished,Yes,2026-01-19
Vadodara,Alkapuri,Urban Square,1,544,3416,1858304,18.58,2024,2,27,Unfurnished,No,2026-01-19
Coimbatore,RS Puram,Amber Villas,3,1447,3317,4799699,48.0,2020,4,5,Unfurnished,No,2026-01-19
Bengaluru,Electronic City,Galaxy Arcade,2,932,11241,10476612,104.77,2006,3,29,Semi-Furnished,No,2026-01-19
Bengaluru,Hebbal,Sky Heights,2,949,8721,8276229,82.76,2018,8,27,Furnished,Yes,2026-01-19
Mumbai,Juhu,Amber Bloom,1,587,24200,14205400,142.05,2017,2,11,Furnished,No,2026-01-19
Coimbatore,Singanallur,Palace Square,2,848,2975,2522800,25.23,1999,3,11,Furnished,Yes,2026-01-19
Noida,Sector 50,Iris Court,3,1246,7445,9276470,92.76,2025,4,9,Unfurnished,No,2026-01-19
Mohali,Phase 3B2,Crystal Heights,3,1256,4665,5859240,58.59,2025,1,24,Furnished,No,2026-01-19
Thane,Powai,Ocean Apartments,2,842,14798,12459916,124.6,2016,7,16,Furnished,No,2026-01-19
Delhi,Janakpuri,Palace Bay,2,1074,13806,14827644,148.28,1993,3,32,Unfurnished,Yes,2026-01-19
Bengaluru,Indiranagar,Regal Garden,1,518,8333,4316494,43.16,1988,3,19,Furnished,Yes,2026-01-19
Mumbai,Juhu,Oak Court,2,834,30954,25815636,258.16,2005,1,30,Unfurnished,No,2026-01-19
Lucknow,Gomti Nagar,Amber Heights,4,2373,4173,9902529,99.03,2024,2,27,Furnished,Yes,2026-01-19
Noida,Greater Noida,Silver Arcade,3,1493,8518,12717374,127.17,2001,3,12,Furnished,Yes,2026-01-19
Pune,Camp,Regal Grove,3,1593,9802,15614586,156.15,1997,16,35,Furnished,Yes,2026-01-19
Noida,Sector 137,Pearl Heights,1,810,9684,7844040,78.44,2015,9,32,Semi-Furnished,Yes,2026-01-19
Thane,Bhayandar,Crown Enclave,2,934,11435,10680290,106.8,1998,1,14,Furnished,Yes,2026-01-19
Coimbatore,Peelamedu,Oak Villas,4,2239,3196,7155844,71.56,2015,8,22,Unfurnished,Yes,2026-01-19
Chandigarh,Sector 21,Maple Heights,4,1908,5763,10995804,109.96,2002,2,5,Semi-Furnished,No,2026-01-19
Mohali,Sector 68,Sunrise Plaza,2,1023,6939,7098597,70.99,2004,2,29,Furnished,No,2026-01-19
Mumbai,Powai,Regal Arcade,2,1046,22625,23665750,236.66,1999,2,3,Furnished,Yes,2026-01-19
Jaipur,Bani Park,Hill Apartments,2,901,5406,4870806,48.71,2023,1,15,Unfurnished,Yes,2026-01-19
Mumbai,Bandra,Regal Garden,1,637,23919,15236403,152.36,1991,1,14,Unfurnished,Yes,2026-01-19
Kolkata,Park Street,Orchid Bay,2,1167,6964,8126988,81.27,2018,5,16,Semi-Furnished,Yes,2026-01-19
Noida,Sector 76,Pride Garden,2,1025,10531,10794275,107.94,2009,8,26,Unfurnished,No,2026-01-19
Delhi,Vasant Kunj,Amber Arcade,2,874,13851,12105774,121.06,2021,6,26,Semi-Furnished,Yes,2026-01-19
Delhi,Dwarka,Regal Bay,3,1126,12869,14490494,144.9,2024,1,24,Semi-Furnished,No,2026-01-19
Mohali,Sector 70,Iris Bay,3,1161,5883,6830163,68.3,1985,3,25,Unfurnished,No,2026-01-19
Chennai,Besant Nagar,Cedar Grove,1,636,6682,4249752,42.5,2002,3,5,Unfurnished,Yes,2026-01-19
Delhi,Dwarka,Pearl Bloom,2,1012,11306,11441672,114.42,1999,3,9,Unfurnished,Yes,2026-01-19
Gurgaon,Cyber City,Hill Bay,1,861,10502,9042222,90.42,2012,3,24,Furnished,No,2026-01-19
Delhi,Dwarka,Green Bay,1,510,15282,7793820,77.94,2012,12,25,Furnished,No,2026-01-19
Coimbatore,RS Puram,Amber Square,2,846,3080,2605680,26.06,2021,1,11,Unfurnished,No,2026-01-19
Jaipur,Mansarovar,Regal Apartments,2,773,4452,3441396,34.41,1991,1,6,Furnished,No,2026-01-19
Thane,Bhayandar,Oak Bay,3,1413,12830,18128790,181.29,2006,1,20,Semi-Furnished,Yes,2026-01-19
Kolkata,New Town,Crown Square,2,911,6017,5481487,54.81,2011,3,31,Unfurnished,Yes,2026-01-19
Gurgaon,MG Road,Lotus Plaza,2,1074,11232,12063168,120.63,2024,3,20,Semi-Furnished,No,2026-01-19
Pune,Koregaon Park,Cedar Court,2,895,6910,6184450,61.84,1990,3,12,Furnished,Yes,2026-01-19
Hyderabad,Banjara Hills,Cedar Arcade,3,1300,6844,8897200,88.97,1998,4,24,Unfurnished,No,2026-01-19
Ahmedabad,SG Highway,Sky Bloom,2,963,5161,4970043,49.7,2021,1,1,Semi-Furnished,No,2026-01-19
Pune,Baner,Galaxy Garden,4,2141,9929,21257989,212.58,2022,7,28,Furnished,No,2026-01-19
Mumbai,Lower Parel,Hill Plaza,2,803,24265,19484795,194.85,1997,2,21,Semi-Furnished,Yes,2026-01-19
Bengaluru,Koramangala,Lotus Apartments,2,999,10980,10969020,109.69,2002,27,35,Unfurnished,No,2026-01-19
Gurgaon,DLF Phase 1,Lotus Bloom,2,997,10270,10239190,102.39,1986,1,18,Semi-Furnished,Yes,2026-01-19
Kolkata,Park Street,Green Heights,1,601,4661,2801261,28.01,2019,3,8,Furnished,No,2026-01-19
Bengaluru,Jayanagar,Hill Garden,3,1400,10254,14355600,143.56,2001,2,25,Furnished,No,2026-01-19
Kolkata,New Town,Sunrise Court,2,1006,4744,4772464,47.72,2019,2,20,Semi-Furnished,Yes,2026-01-19
Hyderabad,Kukatpally,Sky Grove,2,809,6423,5196207,51.96,2022,2,20,Unfurnished,Yes,2026-01-19
Kolkata,New Town,Lotus Court,2,975,4392,4282200,42.82,2024,4,13,Furnished,Yes,2026-01-19
Coimbatore,Kovaipudur,Palace Terrace,2,1090,4342,4732780,47.33,1995,4,33,Furnished,Yes,2026-01-19
Indore,Vijay Nagar,Hill Apartments,2,862,3050,2629100,26.29,2022,3,12,Unfurnished,Yes,2026-01-19
Mohali,Sector 68,Green Grove,1,721,4600,3316600,33.17,1990,3,34,Furnished,Yes,2026-01-19
Chennai,Velachery,Lotus Court,2,1027,8704,8939008,89.39,2024,4,32,Furnished,No,2026-01-19
Jaipur,Tonk Road,Crown Square,2,1120,4865,5448800,54.49,2004,2,32,Unfurnished,No,2026-01-19
Chandigarh,Sector 17,Ocean Arcade,1,526,8908,4685608,46.86,2014,2,18,Semi-Furnished,No,2026-01-19
Mumbai,Versova,Maple Plaza,1,658,25039,16475662,164.76,2008,1,9,Furnished,No,2026-01-19
Bengaluru,Hebbal,Crown Arcade,2,1058,11919,12610302,126.1,1991,10,16,Unfurnished,No,2026-01-19
Bengaluru,Jayanagar,Palace Terrace,4,2479,10094,25023026,250.23,2013,5,26,Semi-Furnished,Yes,2026-01-19
Pune,Camp,Lotus Residency,3,1534,7597,11653798,116.54,2010,9,35,Unfurnished,No,2026-01-19
Chennai,OMR,Orchid Plaza,2,663,7173,4755699,47.56,2005,1,16,Unfurnished,No,2026-01-19
Mumbai,Powai,Orchid Court,4,1918,28237,54158566,541.59,1994,2,29,Unfurnished,Yes,2026-01-19
Noida,Sector 62,Hill Residency,2,867,8301,7196967,71.97,1998,7,35,Unfurnished,Yes,2026-01-19
Thane,Kolshet,Oak Court,2,965,11805,11391825,113.92,2013,2,15,Semi-Furnished,No,2026-01-19
Bengaluru,Electronic City,Urban Heights,2,1121,9092,10192132,101.92,2015,3,33,Unfurnished,No,2026-01-19
Ahmedabad,Naranpura,Sky Court,3,1440,4583,6599520,66.0,2000,1,18,Unfurnished,No,2026-01-19
Vadodara,Race Course,Amber Garden,4,2569,3384,8693496,86.93,2021,7,32,Unfurnished,No,2026-01-19
Nagpur,Civil Lines,Crown Residency,2,849,3457,2934993,29.35,2018,3,14,Furnished,No,2026-01-19
Hyderabad,Gachibowli,Regal Residency,3,1315,4657,6123955,61.24,1986,8,19,Furnished,No,2026-01-19
Vadodara,Vasna,Regal Square,2,978,3778,3694884,36.95,1989,14,25,Furnished,No,2026-01-19
Delhi,Lajpat Nagar,Urban Square,2,1085,13628,14786380,147.86,1997,9,24,Unfurnished,Yes,2026-01-19
Surat,Varachha,Iris Bloom,4,1923,4812,9253476,92.53,2004,2,31,Furnished,Yes,2026-01-19
Mohali,Sector 70,Sunrise Bloom,1,547,5684,3109148,31.09,2025,2,2,Furnished,No,2026-01-19
Mumbai,BKC,Crystal Apartments,2,1005,23678,23796390,237.96,2023,3,17,Unfurnished,No,2026-01-19
Pune,Kharadi,Vista Enclave,3,1620,8093,13110660,131.11,1985,3,31,Furnished,Yes,2026-01-19
Delhi,Vasant Kunj,Oak Court,2,1203,10157,12218871,122.19,1985,2,24,Semi-Furnished,No,2026-01-19
Pune,Camp,Sky Garden,1,538,5885,3166130,31.66,1999,6,22,Unfurnished,Yes,2026-01-19
Kolkata,Behala,Ocean Arcade,2,1059,5484,5807556,58.08,2011,2,23,Furnished,No,2026-01-19
Noida,Sector 76,Regal Court,1,669,10312,6898728,68.99,1993,3,9,Unfurnished,Yes,2026-01-19
Thane,Bhayandar,Sunrise Grove,1,630,17251,10868130,108.68,2010,1,22,Semi-Furnished,Yes,2026-01-19
Noida,Sector 137,Amber Bay,3,1165,6916,8057140,80.57,1994,10,23,Semi-Furnished,Yes,2026-01-19
Gurgaon,MG Road,Cedar Court,2,846,8106,6857676,68.58,1990,3,4,Semi-Furnished,Yes,2026-01-19
Mumbai,Andheri,Galaxy Bay,1,648,21312,13810176,138.1,1986,2,22,Semi-Furnished,Yes,2026-01-19
Chennai,Anna Nagar,Palace Terrace,2,1102,8557,9429814,94.3,2010,1,10,Semi-Furnished,Yes,2026-01-19
Chennai,Velachery,Crystal Garden,2,1076,8386,9023336,90.23,2004,1,16,Semi-Furnished,Yes,2026-01-19
Mumbai,BKC,Pearl Enclave,3,1316,33196,43685936,436.86,2013,1,21,Furnished,No,2026-01-19
Nagpur,Civil Lines,Pearl Villas,4,2240,3714,8319360,83.19,2021,2,32,Unfurnished,No,2026-01-19
Mumbai,BKC,Regal Apartments,2,970,30130,29226100,292.26,2016,6,22,Furnished,Yes,2026-01-19
Gurgaon,Sohna Road,Crown Court,3,1415,12271,17363465,173.63,2019,6,28,Unfurnished,No,2026-01-19
Mumbai,Lower Parel,Crystal Court,2,1144,19473,22277112,222.77,2014,1,3,Unfurnished,Yes,2026-01-19
Gurgaon,Cyber City,Cedar Arcade,2,1013,9312,9433056,94.33,2019,5,27,Unfurnished,Yes,2026-01-19
Thane,Kolshet,Regal Apartments,2,1032,13709,14147688,141.48,2019,2,16,Semi-Furnished,Yes,2026-01-19
Chennai,Adyar,Ocean Plaza,2,883,8193,7234419,72.34,1989,3,16,Semi-Furnished,Yes,2026-01-19
Pune,Kharadi,Orchid Garden,2,745,9466,7052170,70.52,2006,1,34,Furnished,Yes,2026-01-19
Chennai,Adyar,Crystal Plaza,2,971,5875,5704625,57.05,2020,1,24,Unfurnished,Yes,2026-01-19
Mumbai,Versova,Galaxy Enclave,2,1007,24141,24309987,243.1,1989,4,23,Unfurnished,No,2026-01-19
Mumbai,Versova,Regal Garden,3,1440,25116,36167040,361.67,2011,2,24,Furnished,No,2026-01-19
Pune,Baner,Pearl Heights,2,742,9593,7118006,71.18,1988,2,17,Furnished,No,2026-01-19
Kolkata,Salt Lake,Sunrise Plaza,2,1235,4269,5272215,52.72,2004,1,34,Furnished,Yes,2026-01-19
Coimbatore,Gandhipuram,Iris Plaza,1,583,3619,2109877,21.1,1998,3,3,Semi-Furnished,No,2026-01-19
Chandigarh,Sector 35,Palace Apartments,2,1093,8605,9405265,94.05,1986,20,26,Furnished,Yes,2026-01-19
Chandigarh,Sector 9,Palace Apartments,2,1061,8169,8667309,86.67,2018,6,30,Furnished,Yes,2026-01-19
Gurgaon,Sector 14,Ocean Court,2,983,10017,9846711,98.47,1996,6,35,Furnished,Yes,2026-01-19
Thane,Powai,Royal Bloom,3,1430,16079,22992970,229.93,1995,3,6,Furnished,Yes,2026-01-19
Jaipur,Malviya Nagar,Amber Grove,3,1441,4095,5900895,59.01,2000,1,32,Unfurnished,Yes,2026-01-19
Lucknow,Chinhat,Pride Grove,2,931,3435,3197985,31.98,2007,5,10,Semi-Furnished,No,2026-01-19
Mumbai,Lower Parel,Oak Bay,1,591,26966,15936906,159.37,2020,1,33,Unfurnished,Yes,2026-01-19
Gurgaon,Sector 14,Crystal Terrace,2,832,11389,9475648,94.76,2000,1,11,Furnished,Yes,2026-01-19
Bengaluru,Whitefield,Sunrise Plaza,3,1003,11136,11169408,111.69,2005,3,19,Semi-Furnished,Yes,2026-01-19
Pune,Wagholi,Pride Arcade,3,1297,10021,12997237,129.97,2023,3,4,Unfurnished,No,2026-01-19
Noida,Sector 62,Iris Grove,2,1022,7175,7332850,73.33,1994,4,24,Furnished,Yes,2026-01-19
Mumbai,Powai,Cedar Terrace,3,1643,26805,44040615,440.41,2001,1,4,Unfurnished,No,2026-01-19
Surat,Dumas,Sunrise Bay,3,1133,4848,5492784,54.93,2007,4,19,Semi-Furnished,Yes,2026-01-19
Kolkata,Garia,Regal Arcade,2,886,5933,5256638,52.57,1988,2,8,Furnished,Yes,2026-01-19
Surat,Adajan,Vista Plaza,4,1822,3915,7133130,71.33,2022,2,34,Semi-Furnished,Yes,2026-01-19
Pune,Hinjewadi,Green Enclave,2,857,9188,7874116,78.74,2019,1,6,Furnished,No,2026-01-19
Vadodara,Race Course,Palace Residency,2,951,4611,4385061,43.85,1990,3,16,Semi-Furnished,Yes,2026-01-19
Mumbai,Powai,Green Terrace,3,1006,25762,25916572,259.17,2004,3,14,Unfurnished,No,2026-01-19
Delhi,Sultanpur,Cedar Court,1,549,14937,8200413,82.0,2021,6,29,Unfurnished,Yes,2026-01-19
Mumbai,Versova,Cedar Heights,1,653,29663,19369939,193.7,2018,4,9,Unfurnished,Yes,2026-01-19
Mohali,Kharar,Maple Bay,3,1606,6614,10622084,106.22,2011,2,34,Unfurnished,Yes,2026-01-19
Noida,Sector 76,Amber Apartments,2,1007,10177,10248239,102.48,2002,5,33,Unfurnished,No,2026-01-19
Gurgaon,DLF Phase 1,Ocean Residency,4,1978,8017,15857626,158.58,2018,3,12,Unfurnished,Yes,2026-01-19
Hyderabad,Gachibowli,Sunrise Square,2,986,5366,5290876,52.91,1988,3,22,Semi-Furnished,No,2026-01-19
Delhi,Sultanpur,Oak Court,2,821,11651,9565471,95.65,1990,1,28,Semi-Furnished,No,2026-01-19
Mumbai,Juhu,Sky Plaza,2,838,29281,24537478,245.37,2013,5,32,Semi-Furnished,No,2026-01-19
Thane,Ghodbunder Road,Oak Court,1,557,11495,6402715,64.03,2000,2,14,Unfurnished,Yes,2026-01-19
Bengaluru,Whitefield,Galaxy Villas,2,742,11452,8497384,84.97,1991,1,5,Furnished,Yes,2026-01-19
Thane,Kolshet,Palace Villas,4,2132,15287,32591884,325.92,2003,3,3,Semi-Furnished,No,2026-01-19
Hyderabad,Hitech City,Pride Plaza,1,550,4916,2703800,27.04,2024,10,10,Semi-Furnished,No,2026-01-19
Gurgaon,Sohna Road,Lotus Terrace,2,806,11488,9259328,92.59,2017,1,15,Unfurnished,No,2026-01-19
Chennai,Adyar,Hill Plaza,2,1101,6809,7496709,74.97,2005,1,13,Semi-Furnished,No,2026-01-19
Gurgaon,Sohna Road,Oak Arcade,1,552,10295,5682840,56.83,1997,2,14,Furnished,Yes,2026-01-19
Chennai,OMR,Pearl Enclave,2,1059,6226,6593334,65.93,1998,1,29,Unfurnished,Yes,2026-01-19
Mumbai,Bandra,Lotus Enclave,1,560,23393,13100080,131.0,1989,6,12,Unfurnished,Yes,2026-01-19
Mumbai,Versova,Crystal Bay,1,664,20392,13540288,135.4,2024,2,9,Semi-Furnished,No,2026-01-19
Coimbatore,Sivananda Colony,Pride Garden,2,864,3504,3027456,30.27,2022,4,15,Semi-Furnished,No,2026-01-19
Noida,Greater Noida,Urban Heights,1,604,8935,5396740,53.97,1989,1,13,Unfurnished,No,2026-01-19
Pune,Baner,Hill Arcade,2,850,8432,7167200,71.67,1992,2,28,Semi-Furnished,Yes,2026-01-19
Bengaluru,Koramangala,Maple Apartments,2,731,12040,8801240,88.01,1997,3,17,Semi-Furnished,No,2026-01-19
Thane,Majiwada,Crown Garden,4,2373,11790,27977670,279.78,1990,4,18,Semi-Furnished,No,2026-01-19
Bengaluru,Indiranagar,Palace Terrace,3,1489,12445,18530605,185.31,2005,5,12,Furnished,Yes,2026-01-19
Chennai,T Nagar,Vista Garden,3,1576,7378,11627728,116.28,2006,3,3,Unfurnished,Yes,2026-01-19
Mumbai,Versova,Green Garden,2,804,28654,23037816,230.38,2016,2,12,Unfurnished,No,2026-01-19
Mumbai,Versova,Hill Terrace,2,931,27289,25406059,254.06,2018,3,28,Furnished,No,2026-01-19
Thane,Powai,Sky Arcade,2,962,11208,10782096,107.82,2007,4,16,Unfurnished,No,2026-01-19
Thane,Majiwada,Ocean Garden,3,1450,16783,24335350,243.35,2006,2,7,Semi-Furnished,Yes,2026-01-19
Ahmedabad,Bodakdev,Lotus Bay,2,902,6594,5947788,59.48,2012,5,31,Unfurnished,Yes,2026-01-19
Mohali,Phase 3B2,Sky Square,4,2275,6676,15187900,151.88,2002,1,3,Unfurnished,No,2026-01-19
Thane,Ghodbunder Road,Sunrise Villas,1,699,13137,9182763,91.83,1992,6,20,Furnished,Yes,2026-01-19
Mumbai,Lower Parel,Maple Garden,3,1323,29700,39293100,392.93,1986,2,25,Unfurnished,No,2026-01-19
Mumbai,Andheri,Sunrise Enclave,1,583,25120,14644960,146.45,2007,2,24,Furnished,Yes,2026-01-19
Thane,Kolshet,Silver Heights,3,1558,13208,20578064,205.78,2007,6,6,Semi-Furnished,Yes,2026-01-19
Mumbai,BKC,Royal Villas,2,1016,21661,22007576,220.08,1986,1,33,Furnished,No,2026-01-19
Thane,Ghodbunder Road,Crown Apartments,1,682,15863,10818566,108.19,1996,3,33,Unfurnished,Yes,2026-01-19
Mumbai,Andheri,Pearl Square,4,1933,25903,50070499,500.7,1991,11,30,Unfurnished,Yes,2026-01-19
Mumbai,Juhu,Pride Bay,2,893,31934,28517062,285.17,2022,4,24,Unfurnished,No,2026-01-19
Kolkata,New Town,Vista Arcade,4,2397,5950,14262150,142.62,2021,2,28,Furnished,Yes,2026-01-19
Ahmedabad,Naranpura,Cedar Enclave,3,1465,4092,5994780,59.95,1997,2,24,Semi-Furnished,No,2026-01-19
Thane,Ghodbunder Road,Green Plaza,2,1106,12810,14167860,141.68,1999,1,12,Semi-Furnished,No,2026-01-19
Mohali,Sector 68,Royal Heights,1,588,5628,3309264,33.09,1997,3,20,Semi-Furnished,No,2026-01-19
Gurgaon,Sohna Road,Amber Arcade,2,1237,10193,12608741,126.09,1987,2,22,Semi-Furnished,Yes,2026-01-19
Hyderabad,Begumpet,Regal Arcade,1,533,6219,3314727,33.15,2009,1,5,Semi-Furnished,No,2026-01-19
Noida,Sector 76,Silver Garden,3,1173,8177,9591621,95.92,2006,7,26,Semi-Furnished,Yes,2026-01-19
Chennai,Adyar,Crystal Villas,2,1013,8220,8326860,83.27,2002,1,12,Semi-Furnished,No,2026-01-19
Noida,Sector 50,Hill Villas,3,1437,7181,10319097,103.19,2012,3,24,Semi-Furnished,No,2026-01-19
Bengaluru,Whitefield,Vista Bay,2,791,8866,7013006,70.13,1989,6,32,Semi-Furnished,No,2026-01-19
Hyderabad,Madhapur,Amber Bloom,3,1443,7631,11011533,110.12,2001,12,14,Semi-Furnished,Yes,2026-01-19
Hyderabad,Banjara Hills,Galaxy Terrace,2,1024,6242,6391808,63.92,1995,10,28,Furnished,No,2026-01-19
Pune,Baner,Royal Plaza,1,470,8735,4105450,41.05,1986,3,8,Furnished,No,2026-01-19
Delhi,Janakpuri,Sunrise Heights,3,1186,13841,16415426,164.15,1996,3,32,Furnished,Yes,2026-01-19
Surat,Udhna,Royal Terrace,2,950,4121,3914950,39.15,2015,2,15,Furnished,Yes,2026-01-19
Mumbai,Juhu,Amber Bloom,3,1568,26947,42252896,422.53,2011,6,8,Furnished,Yes,2026-01-19
Gurgaon,Sector 49,Pride Garden,1,641,12395,7945195,79.45,2021,3,23,Unfurnished,Yes,2026-01-19
Bengaluru,Koramangala,Pearl Bay,3,1500,8497,12745500,127.45,2022,3,7,Furnished,Yes,2026-01-19
Bengaluru,Indiranagar,Iris Garden,2,866,12133,10507178,105.07,1986,3,8,Unfurnished,No,2026-01-19
Chennai,Velachery,Regal Enclave,2,1029,8878,9135462,91.35,2010,1,27,Furnished,Yes,2026-01-19
Coimbatore,Kovaipudur,Oak Bloom,2,1042,3533,3681386,36.81,1997,3,26,Semi-Furnished,Yes,2026-01-19
Mohali,Phase 8,Orchid Garden,2,1097,5786,6347242,63.47,1985,6,19,Unfurnished,Yes,2026-01-19
Thane,Powai,Silver Enclave,3,1491,18148,27058668,270.59,2007,3,30,Furnished,Yes,2026-01-19
Nagpur,Sitabuldi,Galaxy Garden,3,1515,2977,4510155,45.1,2005,1,15,Semi-Furnished,No,2026-01-19
Indore,Palasia,Royal Garden,2,787,3739,2942593,29.43,2014,1,4,Furnished,No,2026-01-19
Mumbai,Versova,Maple Grove,3,1533,25527,39132891,391.33,2024,3,10,Furnished,Yes,2026-01-19
Mumbai,Andheri,Iris Plaza,1,703,24197,17010491,170.1,2020,2,8,Unfurnished,No,2026-01-19
Mohali,Sector 68,Maple Square,2,924,6343,5860932,58.61,2023,3,6,Semi-Furnished,No,2026-01-19
Thane,Bhayandar,Amber Arcade,4,2037,15589,31754793,317.55,2024,1,1,Unfurnished,Yes,2026-01-19
Delhi,Karol Bagh,Crystal Terrace,2,1132,15539,17590148,175.9,1986,3,13,Semi-Furnished,No,2026-01-19
Mumbai,BKC,Green Villas,2,963,22477,21645351,216.45,2020,1,15,Furnished,No,2026-01-19
Mumbai,Bandra,Hill Heights,3,1663,21185,35230655,352.31,2009,3,23,Semi-Furnished,No,2026-01-19
Noida,Sector 18,Lotus Grove,3,1698,9028,15329544,153.3,2020,6,18,Furnished,No,2026-01-19
Chennai,Anna Nagar,Urban Grove,2,1004,6184,6208736,62.09,1999,3,15,Semi-Furnished,Yes,2026-01-19
Hyderabad,Madhapur,Pride Plaza,2,1002,6497,6509994,65.1,2015,6,21,Unfurnished,Yes,2026-01-19
Indore,Vijay Nagar,Ocean Heights,3,1550,3494,5415700,54.16,2011,1,11,Unfurnished,No,2026-01-19
Delhi,Sultanpur,Silver Enclave,4,2655,15301,40624155,406.24,2010,2,14,Furnished,Yes,2026-01-19
Indore,Palasia,Crystal Court,1,529,3331,1762099,17.62,2007,3,9,Unfurnished,No,2026-01-19
Mumbai,BKC,Ocean Villas,4,1775,32688,58021200,580.21,2016,13,27,Unfurnished,No,2026-01-19
Kolkata,Garia,Pearl Square,3,1141,5687,6488867,64.89,2017,3,4,Semi-Furnished,Yes,2026-01-19
Bengaluru,Jayanagar,Palace Court,2,819,7886,6458634,64.59,2007,2,23,Furnished,No,2026-01-19
Indore,Palasia,Iris Apartments,2,869,3469,3014561,30.15,2021,2,2,Unfurnished,No,2026-01-19
Lucknow,Alambagh,Palace Square,2,934,3433,3206422,32.06,2008,1,22,Furnished,Yes,2026-01-19
Delhi,Dwarka,Vista Villas,2,1004,13285,13338140,133.38,2009,1,28,Semi-Furnished,No,2026-01-19
Thane,Bhayandar,Orchid Enclave,2,1027,16881,17336787,173.37,2016,1,29,Unfurnished,No,2026-01-19
Mumbai,BKC,Lotus Apartments,2,598,33238,19876324,198.76,2022,2,7,Unfurnished,Yes,2026-01-19
Delhi,Karol Bagh,Crown Terrace,3,1853,12326,22840078,228.4,1992,7,30,Furnished,No,2026-01-19
Chandigarh,Sector 35,Royal Plaza,3,1658,7556,12527848,125.28,2011,3,31,Furnished,Yes,2026-01-19
Thane,Kolshet,Sky Residency,2,1018,18140,18466520,184.67,2020,1,13,Unfurnished,Yes,2026-01-19
Bengaluru,Koramangala,Maple Plaza,3,1411,11496,16220856,162.21,2008,4,5,Furnished,Yes,2026-01-19
Hyderabad,Kukatpally,Cedar Arcade,1,562,5631,3164622,31.65,2025,4,25,Semi-Furnished,No,2026-01-19
Mohali,Sector 70,Cedar Court,1,594,5133,3049002,30.49,2023,2,2,Furnished,No,2026-01-19
Ahmedabad,Bodakdev,Orchid Apartments,2,1040,4919,5115760,51.16,1995,20,31,Furnished,Yes,2026-01-19
Delhi,Karol Bagh,Green Grove,2,904,14588,13187552,131.88,2007,1,17,Furnished,Yes,2026-01-19
Mumbai,BKC,Maple Arcade,2,1131,21437,24245247,242.45,1988,6,11,Semi-Furnished,Yes,2026-01-19
Ahmedabad,Bodakdev,Lotus Garden,3,1320,5264,6948480,69.48,1986,3,28,Semi-Furnished,Yes,2026-01-19
Hyderabad,Hitech City,Vista Plaza,1,501,6765,3389265,33.89,2015,3,17,Furnished,No,2026-01-19
Noida,Noida Extension,Cedar Bloom,1,545,10907,5944315,59.44,2024,12,28,Furnished,Yes,2026-01-19
Ahmedabad,SG Highway,Palace Apartments,2,841,4892,4114172,41.14,1986,1,13,Semi-Furnished,Yes,2026-01-19
Mumbai,Bandra,Orchid Court,2,967,32168,31106456,311.06,1995,2,15,Semi-Furnished,No,2026-01-19
Delhi,Vasant Kunj,Pride Enclave,1,618,11975,7400550,74.01,2025,5,5,Furnished,Yes,2026-01-19
Surat,Udhna,Crown Heights,1,585,3546,2074410,20.74,2005,3,17,Furnished,Yes,2026-01-19
Vadodara,Manjalpur,Ocean Square,2,1012,3375,3415500,34.16,2009,1,25,Semi-Furnished,No,2026-01-19
Mumbai,Lower Parel,Amber Enclave,2,1065,29470,31385550,313.86,2001,5,16,Unfurnished,Yes,2026-01-19
Pune,Camp,Pearl Garden,2,977,6880,6721760,67.22,2018,3,22,Unfurnished,No,2026-01-19
Thane,Wagle Estate,Pride Terrace,2,784,13897,10895248,108.95,1994,1,27,Unfurnished,No,2026-01-19
Delhi,Karol Bagh,Maple Square,2,877,10830,9497910,94.98,2025,7,24,Semi-Furnished,No,2026-01-19
Mohali,Phase 3B2,Iris Arcade,2,830,5702,4732660,47.33,2019,2,14,Semi-Furnished,No,2026-01-19
Thane,Ghodbunder Road,Hill Heights,2,870,13170,11457900,114.58,2024,3,31,Unfurnished,No,2026-01-19
Mohali,Phase 3B2,Pearl Court,1,530,5943,3149790,31.5,2021,4,15,Unfurnished,No,2026-01-19
Chennai,Besant Nagar,Silver Villas,3,1247,8200,10225400,102.25,2002,3,7,Unfurnished,No,2026-01-19
Chennai,Velachery,Ocean Garden,2,975,8379,8169525,81.7,2011,3,10,Furnished,No,2026-01-19
Pune,Koregaon Park,Urban Bay,4,2403,7895,18971685,189.72,2020,3,3,Semi-Furnished,No,2026-01-19
Mumbai,Versova,Urban Apartments,1,607,30180,18319260,183.19,2002,17,22,Semi-Furnished,Yes,2026-01-19
Hyderabad,Banjara Hills,Palace Heights,3,1361,6666,9072426,90.72,2025,11,33,Furnished,No,2026-01-19
Mumbai,Versova,Silver Arcade,3,1331,26547,35334057,353.34,2017,7,25,Unfurnished,Yes,2026-01-19
Mumbai,Andheri,Amber Bay,1,669,25257,16896933,168.97,1993,1,21,Semi-Furnished,Yes,2026-01-19
